timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672416286668,678,HTTP Request,200,OK,Thread Group 1-9,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,520,0,495
1672416286668,520,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,520,0,495
1672416287188,158,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,36,0,0
1672416287268,93,HTTP Request,200,OK,Thread Group 1-13,text,true,,101549,330,17,17,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,30,0,0
1672416287268,30,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,732,188,17,17,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,30,0,0
1672416287298,63,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,100817,142,17,17,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,22,0,0
1672416287237,155,HTTP Request,200,OK,Thread Group 1-1,text,true,,101552,330,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,60,0,0
1672416287237,60,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,735,188,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,60,0,0
1672416287298,94,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,100817,142,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,29,0,0
1672416287277,121,HTTP Request,200,OK,Thread Group 1-4,text,true,,101547,330,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,26,0,0
1672416287277,26,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,731,188,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,26,0,0
1672416287304,94,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,100816,142,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,26,0,0
1672416287279,123,HTTP Request,200,OK,Thread Group 1-14,text,true,,101547,330,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,24,0,0
1672416287279,24,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,731,188,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,24,0,0
1672416287304,98,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,100816,142,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,37,0,0
1672416287276,128,HTTP Request,200,OK,Thread Group 1-10,text,true,,101549,330,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,27,0,0
1672416287276,27,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,732,188,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,27,0,0
1672416287304,100,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,100817,142,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,42,0,0
1672416287261,144,HTTP Request,200,OK,Thread Group 1-3,text,true,,101552,330,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,36,0,0
1672416287261,37,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,735,188,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,36,0,0
1672416287298,107,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,100817,142,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,51,0,0
1672416287274,133,HTTP Request,200,OK,Thread Group 1-15,text,true,,101549,330,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,35,0,0
1672416287274,36,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,732,188,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,35,0,0
1672416287310,97,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,100817,142,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,45,0,0
1672416287289,119,HTTP Request,200,OK,Thread Group 1-6,text,true,,101547,330,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,25,0,0
1672416287289,25,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,731,188,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,25,0,0
1672416287314,94,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,100816,142,18,18,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,41,0,0
1672416287362,107,HTTP Request,200,OK,Thread Group 1-13,text,true,,101549,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,46,0,0
1672416287362,46,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,732,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,46,0,0
1672416287408,61,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,20,0,0
1672416287343,153,HTTP Request,200,OK,Thread Group 1-11,text,true,,101547,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,66,0,0
1672416287343,66,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,731,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,66,0,0
1672416287410,86,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,100816,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,25,0,0
1672416287324,176,HTTP Request,200,OK,Thread Group 1-5,text,true,,101549,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,85,0,0
1672416287324,85,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,732,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,85,0,0
1672416287410,90,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,35,0,0
1672416287349,150,HTTP Request,200,OK,Thread Group 1-9,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,60,0,0
1672416287349,60,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,60,0,0
1672416287410,89,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,30,0,0
1672416287402,108,HTTP Request,200,OK,Thread Group 1-14,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,23,0,0
1672416287402,23,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,23,0,0
